A01,ألم 
A02,قشعريرة
A03,ارتفاع درجة الحرارة
A04,تعب 
A05,الشعور بالمرض 
A06,الدوخة وفقدان الوعي
A07,غيبوبة 
A08,البلع 
A09,مشاكل في التعرق 
A10,نزيف دم
A11,الم في الصدر 
A13,خوف وشعور بالقلق
A16,طفل متهيج
A18,قلق بشأن المظهر
A20,طلب الموت الرحيم وانهاء الحياة
A21,يزيد نسبة حدوث سرطان
A23,
A25,الخوف من الموت والوفاة
A26,
A27,الخوف من امراض أخرى 
A28,وظيفة محدودة أو فشل وظيفي
A29,أعراض أو شكاوي عامة
A70,
A71,
A72,
A73,
A74,
A75,
A76,
A77,
A78,
A79,
A80,
A81,
A82,
A84,
A85,
A86,
A87,
A88,
A89,
A90,
A91,
A92,
A93,
A94,
A95,
A96,
A97,
A98,
A99,
B02,انتفاخ او ألم في الغدد اللمفاوية
B04,أعراض وشكاوي متعلقة بالدم
B25,الخوف من متلازمة نقص المناعة المكتسبة إيدز
B26,الخوف من سرطان دموي أو لمفاوي 
B27,الخوف من أمراض دموية أو لمفاوية
B28,وظيفة محدودة أو فشل وظيفي
B29,أعراض أو شكاوي دموية أو لمفاوية أخرى
B70,
B71,
B72,
B73,
B74,
B75,
B76,
B77,
B78,
B79,
B80,
B81,
B82,
B83,
B84,
B87,
B90,
B99,
D01,ألم أو تشنج في البطن
D02,ألم في أعلى البطن
D03,حرقة معدة 
D04,ألم في منطقة الشرج
D05,حكة حول منطقة الشرج
D06,ألم في البطن في موضع محدد آخر
D07,عسر هضم
D08,نفخة في البطن 
D09,إعياء وغثيان
D10,قيء ومراجعة
D11,إسهال
D12,إمساك 
D13,إصفرار  أو يرقان
D14,قيء ومراجعة دم 
D15,فضلات بلون أسود غامق
D16,نزيف من الشرج
D17,سلس أو خروج فضلات دون إرادة 
D18,إختلاف  الإخراج أو حركة الامعاء
D19,أعراض وشكاوي في الأسنان أو اللثة
D20,أعراض وشكاوي في الفم أو اللسان أو الشفة 
D21,مشكلة في البلع
D23,تضخم في حجم الكبد
D24,كتلة في البطن
D25,توسع وتضخم في البطن
D26,الخوف من سرطان في الجهاز الهضمي 
D27,الخوف من مرض آخر في الجهاز الهضمي
D28,وظيفة محدودة أو فشل وظيفي
D29,مشكلة أو عرض في الهضم
D70,
D71,
D72,
D73,
D74,
D75,
D76,
D77,
D78,
D79,
D80,
D81,
D82,
D83,
D84,
D85,
D86,
D87,
D88,
D89,
D90,
D91,
D92,
D93,
D94,
D95,
D96,
D97,
D98,
D99,
